,NAME10,churn9714,churn0012,totemp1997,totemp2000,totemp12,totemp14,totemp9714,totemp0012,growjob,growhov,growinc,x_centr,y_centr
175,San Diego,0.371659573,0.382662466,544621,622775.5,625069,658989,2293.5,2293.5,1.71E-08,-7.19E-08,1.29E-07,-117.119767,32.83537274
176,San Fernando,0.311369302,0.32325042,9534,9793,11407,11261.5,1614,1614,3.51E-06,4.94E-06,-1.46E-06,-118.4362407,34.28865208
177,San Gabriel,0.322887686,0.345698164,9341,8348,10639,11062,2291,2291,4.27E-06,1.15E-06,1.05E-05,-118.0990757,34.09483343
178,San Jacinto,0.341214909,0.362558682,1263,1771,1794,2007,23,23,NA,NA,NA,-116.9915017,33.79697591
179,San Juan Capistrano,0.357827336,0.349574843,6034,5773,7232.5,9832,1459.5,1459.5,1.59E-05,-1.99E-05,-7.13E-06,-117.6543993,33.501357
180,San Marcos,0.341417127,0.361780111,18552,17737,25372.5,23957.5,7635.5,7635.5,8.80E-06,4.80E-06,3.98E-06,-117.1743631,33.13496599
181,San Marino,0.350724349,0.369105669,2812,2505,3590,3473,1085,1085,9.35E-06,-2.09E-07,8.78E-06,-118.1131919,34.12237967
182,San Pasqual,0.272883827,0.295792893,224,122,190,177,68,68,NA,NA,NA,-118.102517,34.13921835
183,Santa Ana,0.348070246,0.357614902,83112,82356,97400,104250.5,15044,15044,7.13E-07,3.12E-07,1.66E-06,-117.8818902,33.73669484
184,Santa Clarita,0.38652177,0.392692889,27539,36190.5,44525.5,50251.5,8335,8335,8.50E-07,-3.90E-07,7.60E-07,-118.5035047,34.41190393
185,Santa Fe Springs,0.366912394,0.37768263,26795,28602,24845,27870.5,-3757,-3757,-1.32E-07,3.07E-06,-4.22E-06,-118.0625342,33.93303869
186,Santa Monica,0.340078951,0.348761272,39962,34563,54777.5,53951,20214.5,20214.5,-5.92E-07,5.49E-07,2.28E-07,-118.481571,34.02318412
187,Santa Paula,0.291214783,0.280727327,1699,1351,1827,1842,476,476,5.45E-06,-4.88E-05,3.16E-05,-119.0697707,34.35207899
188,Santee,0.361343263,0.387861497,6567,6588,13102.5,14042.5,6514.5,6514.5,1.14E-05,7.54E-06,3.30E-05,-116.9848728,32.85543265
189,Seal Beach,0.413978807,0.394850169,6430,4268,6310.5,8153.5,2042.5,2042.5,NA,NA,NA,-118.0714099,33.75429995
190,Sierra Madre,0.336223725,0.354240692,2117,1906,2811,3258,905,905,-3.15E-06,4.35E-06,2.88E-05,-118.0503385,34.16872029
191,Signal Hill,0.361906384,0.384156449,8107,7323,10866.5,11643.5,3543.5,3543.5,5.37E-06,4.91E-06,-2.95E-06,-118.168196,33.80296078
192,Simi Valley,0.355410149,0.360512078,20556,17614,24765,24276,7151,7151,1.80E-06,-4.35E-06,2.65E-06,-118.7489805,34.26624628
193,South El Monte,0.358647794,0.393144118,3019,2416,1727,1684,-689,-689,2.46E-06,6.42E-06,0.000133711,-118.0483243,34.04934272
194,South Gate,0.319652541,0.34687848,19424,17108,16779.5,17857.5,-328.5,-328.5,-5.94E-07,7.19E-07,3.47E-06,-118.1925505,33.94473226
195,South Pasadena,0.337705295,0.366270622,3737,4443,3289,2983,-1154,-1154,-1.32E-06,-9.21E-06,5.81E-06,-118.157311,34.11026119
196,South San Jose Hills,0.271937211,0.299356236,204,207,237,212,30,30,NA,NA,NA,-117.9042233,34.01228154
197,South Whittier,0.295584057,0.327845809,1722,1442,2192,2306,750,750,NA,NA,NA,-118.0311472,33.93360111
198,Spring Valley,0.353260244,0.384550387,3244,2818,3857,3837,1039,1039,3.01E-05,1.56E-05,6.93E-05,-116.9765826,32.73163695
199,Temecula,0.407289041,0.443808798,8623,8695,22258,25925,13563,13563,1.93E-05,5.22E-06,-1.60E-05,-117.1223903,33.50299809
200,Temple City,0.383951164,0.424333565,2399,2459,3750,3996,1291,1291,NA,NA,NA,-118.0579547,34.10215671
201,Thousand Oaks,0.338451066,0.341854433,27847,28395,37442.5,40193.5,9047.5,9047.5,-8.77E-07,-2.55E-06,-1.08E-06,-118.8748884,34.19177456
202,Torrance,0.330456415,0.330451404,102056,104183,105098.5,111708,915.5,915.5,-4.25E-07,1.54E-06,3.16E-07,-118.341642,33.83459854
203,Tustin,0.368106623,0.348483301,2316,2223,3006,3614,783,783,4.86E-05,5.06E-06,9.43E-05,-117.810731,33.73085205
204,Twentynine Palms,0.306966727,0.349963457,1388,977,1538,1487,561,561,0.000136304,9.04E-05,3.57E-05,-116.0655302,34.14831502
205,Upland,0.382082634,0.387479929,22893,24469,30757.5,30885.5,6288.5,6288.5,1.48E-06,1.37E-06,2.83E-06,-117.6602901,34.11784457
206,Valinda,0.266666296,0.298199042,218,82,297,277,215,215,NA,NA,NA,-117.9300529,34.04003617
207,Valle Vista,0.596154888,0.633890993,87,21,119,127,98,98,NA,NA,NA,-116.8871155,33.74360061
208,Victorville,0.365599056,0.366923161,13228,11649,14729,15719,3080,3080,1.55E-05,1.61E-05,1.45E-05,-117.3538551,34.52776911
209,View Park-Windsor Hills,0.446214699,0.503682798,1386,1247,1863,1692,616,616,6.82E-05,-1.72E-05,-0.000121289,-118.3483504,33.99550864
210,Vista,0.353382326,0.358337187,10848,9701,14157.5,15607.5,4456.5,4456.5,1.83E-05,7.38E-06,4.56E-06,-117.2386072,33.18954819
211,Walnut,0.423400872,0.431602578,6254,6871,7193,7662,322,322,1.63E-06,-6.83E-06,-7.70E-06,-117.8593099,34.03343447
212,Walnut Park,0.352126896,0.375687915,1290,973,1246,1223,273,273,-0.000103373,5.39E-07,0.000151227,-118.2219715,33.96823235
213,West Athens,0.312640047,0.35832838,1890,1692,1067,1228,-625,-625,-1.62E-05,2.06E-05,-4.74E-05,-118.3032971,33.92345527
